customer_id,nome,email,numero_conta,data_nascimento,cidade,country,gender,age,credit_score,tenure,balance,limite_credito,products_number,credit_card,active_member,estimated_salary,churn,NewBalance
15631460,Camila Martins Lima,camila.martins@hotmail.com,83406-0,1982-10-04,Barcelona,Spain,Female,42,671,3,0.0,0.0,2,1,1,128449.33,0,0.0
15700300,Patrícia Rocha Alves,patricia.rocha@uol.com.br,83680-0,1980-12-18,Berlin,Germany,Female,44,674,4,131593.85,202324.81,1,0,1,171345.02,1,12.48062274483294
15760456,Silvana Costa Ferreira,silvana.costa@outlook.com,43299-9,1986-04-04,Paris,France,Female,38,731,10,123711.73,262028.34,2,1,0,171340.68,1,12.418856560653541
15772482,André Costa Araújo,andre.costa@gmail.com,19234-4,1996-07-03,Munich,Germany,Male,28,829,3,132405.52,366908.12,3,1,0,104889.2,1,12.48677179403307
15782236,Carlos Eduardo Silva,carlos.eduardo@uol.com.br,52424-4,1990-08-20,Madrid,Spain,Male,34,735,5,0.0,0.0,2,0,0,71095.41,0,0.0
15658987,Larissa Pereira Gomes,larissa.pereira@yahoo.com.br,58682-8,1978-10-02,Nantes,France,Female,46,557,4,96173.17,90759.06,2,1,1,116378.31,0,12.167052880212559
15689061,Marcos Pereira Rocha,marcos.pereira@terra.com.br,68547-4,1956-06-23,Marseille,France,Male,68,611,5,82547.11,229393.65,2,1,1,146448.01,0,12.014271620246673
15715622,Mariana Costa Santos,Formato Inválido,80619-0,1967-06-01,Nice,France,Female,57,583,3,238387.56,388151.04,1,0,1,147964.99,1,13.074800212168135
15636982,Camila Martins Lima,camila.martins@yahoo.com.br,50071-2,1981-11-21,Cologne,Germany,Female,43,705,7,79974.55,231953.31,1,1,1,103108.33,0,11.982610918642559
15635964,Paulo Roberto Mendes,Sin Registro,71714-6,1959-11-24,Frankfurt,Germany,Male,65,566,4,120100.41,255269.57,1,1,0,107563.16,1,12.38923060246134
