customer_id,nome,email,numero_conta,data_nascimento,cidade,gender,age,credit_score,tenure,limite_credito,products_number,credit_card,active_member,estimated_salary,churn,NewBalance,country_France,country_Germany,country_Spain
15631460,Camila Martins Lima,camila.martins@hotmail.com,83406-0,1982-10-04,Barcelona,0,42,671,3,0.0,2,1,1,128449.33,0,0.0,False,False,True
15700300,Patrícia Rocha Alves,patricia.rocha@uol.com.br,83680-0,1980-12-18,Berlin,0,44,674,4,202324.81,1,0,1,171345.02,1,12.48062274483294,False,True,False
15760456,Silvana Costa Ferreira,silvana.costa@outlook.com,43299-9,1986-04-04,Paris,0,38,731,10,262028.34,2,1,0,171340.68,1,12.41885656065354,True,False,False
15772482,André Costa Araújo,andre.costa@gmail.com,19234-4,1996-07-03,Munich,1,28,829,3,366908.12,3,1,0,104889.2,1,12.48677179403307,False,True,False
15782236,Carlos Eduardo Silva,carlos.eduardo@uol.com.br,52424-4,1990-08-20,Madrid,1,34,735,5,0.0,2,0,0,71095.41,0,0.0,False,False,True
15658987,Larissa Pereira Gomes,larissa.pereira@yahoo.com.br,58682-8,1978-10-02,Nantes,0,46,557,4,90759.06,2,1,1,116378.31,0,12.16705288021256,True,False,False
15689061,Marcos Pereira Rocha,marcos.pereira@terra.com.br,68547-4,1956-06-23,Marseille,1,68,611,5,229393.65,2,1,1,146448.01,0,12.014271620246673,True,False,False
15715622,Mariana Costa Santos,Formato Inválido,80619-0,1967-06-01,Nice,0,57,583,3,388151.04,1,0,1,147964.99,1,13.074800212168135,True,False,False
15636982,Camila Martins Lima,camila.martins@yahoo.com.br,50071-2,1981-11-21,Cologne,0,43,705,7,231953.31,1,1,1,103108.33,0,11.98261091864256,False,True,False
15635964,Paulo Roberto Mendes,Sin Registro,71714-6,1959-11-24,Frankfurt,1,65,566,4,255269.57,1,1,0,107563.16,1,12.38923060246134,False,True,False
15766417,Mônica Dias Borges,monica.dias@terra.com.br,12435-8,1964-05-02,Nice,0,60,678,2,0.0,2,1,1,43821.56,0,0.0,True,False,False
15592116,Renata Souza Ribeiro,renata.souza@uol.com.br,06882-0,1985-08-28,Paris,0,39,585,7,0.0,2,1,0,2401.26,0,0.0,True,False,False
15589725,Aline Carvalho Araújo,aline.carvalho@gmail.com,94666-3,1973-05-20,Bordeaux,0,51,740,4,0.0,2,1,1,178929.84,0,0.0,True,False,False
15810167,Bruno Souza Martins,bruno.souza@outlook.com,26731-9,1949-02-23,Sevilla,1,75,657,7,374582.04,1,0,1,91673.6,0,12.439356212692196,False,False,True
15621466,Mateus Carvalho Alves,mateus.carvalho@uol.com.br,71355-9,1986-07-23,Hamburg,1,38,606,3,195156.04,1,0,0,37054.65,0,12.205047420191256,False,True,False
15780746,Lucas Ferreira Lima,lucas.ferreira@terra.com.br,46832-6,1963-05-05,Toulouse,1,61,705,4,0.0,2,1,1,191313.7,0,0.0,True,False,False
15766288,Mariana Costa Santos,mariana.costa@hotmail.com,71650-6,1988-01-01,Frankfurt,0,36,586,5,172321.89,1,1,0,194072.56,1,12.24241122858774,False,True,False
15613734,Camila Martins Lima,camila.martins@hotmail.com,46624-2,1991-09-15,Bordeaux,0,33,640,6,208303.48,2,1,1,113048.79,0,12.040243891695525,True,False,False
15750772,Silvana Costa Ferreira,silvana.costa@terra.com.br,45109-3,1986-12-14,Marseille,0,38,671,6,93494.58,1,0,1,76068.95,0,12.484686626855176,True,False,False
15607312,Vanessa Gomes Carvalho,vanessa.gomes@hotmail.com,76675-0,1975-02-08,Madrid,0,49,648,10,0.0,2,1,1,159835.78,1,0.0,False,False,True
15633141,Aline Carvalho Araújo,aline.carvalho@terra.com.br,70200-9,1989-09-27,Berlin,0,35,696,4,212411.6,1,1,0,69079.85,0,12.765129763160852,False,True,False
15591010,Paulo Roberto Mendes,paulo.roberto@yahoo.com.br,75892-2,1969-01-01,Cologne,1,55,434,8,140619.5,2,1,0,96405.88,1,12.295357162000489,False,True,False
15665784,Bruno Souza Martins,bruno.souza@gmail.com,78403-8,1997-11-02,Toulouse,1,27,637,9,323386.03,1,1,0,46786.92,0,12.460251500768711,True,False,False
15583480,Vanessa Gomes Carvalho,Formato Inválido,84327-1,1988-06-08,Paris,0,36,807,4,0.0,2,0,1,147007.33,0,-0.0,True,False,False
15694272,Leandro Nunes Ferreira,Sin Registro,40124-2,1994-06-07,Nice,1,30,673,1,170615.77,1,1,1,77783.35,0,11.761311721509433,True,False,False
15657468,Mônica Dias Borges,monica.dias@outlook.com,48727-5,1971-01-22,Hamburg,0,53,711,5,168043.56,1,1,0,102428.51,0,-12.419610449031977,False,True,False
15708513,Natália Santos Martins,natalia.santos@terra.com.br,06788-6,1985-10-26,Lyon,0,39,446,1,57892.39,1,1,0,191350.48,0,12.103121114856322,True,False,False
15651052,João Pedro Souza,joao.pedro@uol.com.br,97341-2,1978-01-25,Munich,1,46,399,2,71674.23,1,1,0,139994.68,1,12.450235495475798,False,True,False
15791972,Natália Santos Martins,Formato Inválido,81406-5,2004-01-22,Nantes,0,20,748,7,0.0,2,0,0,10792.42,0,0.0,True,False,False
15622750,Renata Souza Ribeiro,renata.souza@hotmail.com,89977-4,2003-03-18,Munich,0,21,742,1,269714.91,1,1,0,31520.4,0,12.339663236421584,False,True,False
15801351,Mateus Carvalho Alves,mateus.carvalho@hotmail.com,54317-8,1984-08-24,Paris,1,40,583,3,0.0,2,1,0,47728.0,0,0.0,True,False,False
15792008,Ana Clara Souza,ana.clara@yahoo.com.br,21158-7,1998-09-12,Madrid,0,26,555,9,0.0,2,0,1,158918.03,0,0.0,False,False,True
15727696,Fernando Henrique Costa,fernando.henrique@hotmail.com,15056-6,1982-04-05,Paris,1,42,592,1,262786.41,2,1,1,63023.02,0,-12.593029460341937,True,False,False
15572360,Paulo Roberto Mendes,paulo.roberto@gmail.com,28918-2,1994-10-08,Lyon,1,30,683,10,120566.17,1,0,0,79240.9,0,11.655422619835983,True,False,False
15716324,Amanda Oliveira Rocha,amanda.oliveira@uol.com.br,10833-3,2001-07-20,Nantes,0,23,665,9,428076.98,1,1,1,115147.33,0,12.56844164751962,True,False,False
15797692,Juliana Alves Pereira,juliana.alves@uol.com.br,91128-1,1991-06-03,Nantes,0,33,659,7,218665.22,1,1,0,136540.09,0,12.10004101586771,True,False,False
15590011,Gustavo Pinto Ribeiro,gustavo.pinto@outlook.com,53870-4,1986-08-17,Bilbao,1,38,749,9,187585.61,1,1,1,100240.2,0,12.46364328508314,False,False,True
15781574,Thiago Alves Pereira,thiago.alves@hotmail.com,45156-6,1948-08-24,Bilbao,1,76,636,9,272672.52,1,1,1,39789.62,0,12.441418248112662,False,False,True
15791867,Thiago Alves Pereira,thiago.alves@hotmail.com,90578-3,1980-03-19,Munich,1,44,544,2,260025.41,1,0,0,69228.2,1,12.29129511506629,False,True,False
15603794,Bruno Souza Martins,bruno.souza@yahoo.com.br,40404-0,1976-07-28,Marseille,1,48,623,5,91703.65,1,1,1,158590.25,0,12.37555699012045,True,False,False
15587394,João Pedro Souza,joao.pedro@uol.com.br,54701-9,1985-09-10,Marseille,1,39,462,4,272584.1,2,0,0,131304.45,0,12.543495002085772,True,False,False
15628972,Alexandre Moreira Dias,alexandre.moreira@outlook.com,46581-9,1992-03-09,Cologne,1,32,699,1,287879.0,3,1,1,127443.82,1,12.126492064422363,False,True,False
15665879,Camila Martins Lima,camila.martins@yahoo.com.br,81144-1,1984-05-23,Bordeaux,0,40,768,8,0.0,2,0,1,69080.46,0,0.0,True,False,False
15813660,Felipe Lima Santos,felipe.lima@gmail.com,97577-3,1984-04-14,Barcelona,1,40,754,2,186740.78,1,0,1,3554.63,0,12.679975973566457,False,False,True
15776827,Mateus Carvalho Alves,mateus.carvalho@gmail.com,93992-6,1987-05-17,Stuttgart,1,37,770,5,177790.26,2,0,1,180326.83,0,12.55353611380749,False,True,False
15798024,Alexandre Moreira Dias,alexandre.moreira@yahoo.com.br,73848-8,1940-03-21,Stuttgart,1,84,537,8,174646.38,1,1,1,186235.98,0,-12.125321703814134,False,True,False
15785980,Diego Martins Nunes,Formato Inválido,29727-0,1990-12-10,Madrid,1,34,588,6,247068.38,2,1,0,86460.28,0,12.397785466054332,False,False,True
15687218,Renata Souza Ribeiro,renata.souza@yahoo.com.br,59947-3,1997-06-10,Nice,0,27,674,4,180777.6,1,0,1,50743.83,0,11.972175733560531,True,False,False
15648461,André Costa Araújo,andre.costa@outlook.com,88497-9,1987-09-26,Bilbao,1,37,688,7,162563.25,2,1,1,113926.31,0,12.529332336785185,False,False,True
15736271,Ana Clara Souza,ana.clara@outlook.com,37599-6,1995-01-09,Toulouse,0,29,498,9,0.0,1,1,0,190035.83,0,0.0,True,False,False
15773277,Felipe Lima Santos,felipe.lima@uol.com.br,65764-6,1989-09-19,Paris,1,35,676,5,251243.41,2,1,0,84199.78,0,12.272203679218176,True,False,False
15778368,Gustavo Pinto Ribeiro,gustavo.pinto@hotmail.com,80071-9,1974-05-22,Munich,1,50,552,4,162740.77,1,1,0,117505.07,1,12.398142862695178,False,True,False
15686436,Leandro Nunes Ferreira,leandro.nunes@hotmail.com,83347-6,1992-10-01,Barcelona,1,32,523,4,0.0,2,1,0,167848.02,0,0.0,False,False,True
15710689,Alexandre Moreira Dias,alexandre.moreira@gmail.com,36370-0,1984-09-04,Zaragoza,1,40,578,6,121841.73,1,0,0,74965.61,1,11.7536718926299,False,False,True
15584897,Vanessa Gomes Carvalho,vanessa.gomes@yahoo.com.br,20226-7,1993-01-18,Paris,0,31,639,3,218095.52,1,0,0,100240.2,0,12.189536981917902,True,False,False
15806967,Elaine Pinto Mendes,elaine.pinto@hotmail.com,35852-4,1959-02-15,Marseille,0,65,778,7,0.0,1,1,1,77867.23,0,0.0,True,False,False
15634281,Débora Ribeiro Lima,debora.ribeiro@terra.com.br,60702-3,1981-02-15,Stuttgart,0,43,720,10,153329.41,1,0,0,72861.94,0,12.308835891220882,False,True,False
15706593,Priscila Rocha Nunes,priscila.rocha@uol.com.br,64324-5,1974-04-10,Barcelona,0,50,850,10,0.0,2,1,1,33741.84,0,0.0,False,False,True
15684395,Elaine Pinto Mendes,elaine.pinto@hotmail.com,87811-8,1979-07-12,Barcelona,0,45,446,10,224443.94,1,1,1,100240.2,1,12.430748542219275,False,False,True
15640260,Mateus Carvalho Alves,mateus.carvalho@yahoo.com.br,98168-2,1992-04-03,Cologne,1,32,595,8,208283.29,2,1,1,69428.79,0,12.47672294732903,False,True,False
15776850,Priscila Rocha Nunes,priscila.rocha@outlook.com,63428-3,1981-05-01,Bilbao,0,43,749,1,112911.03,1,1,1,167179.48,0,12.422868251219324,False,False,True
15760641,Alexandre Moreira Dias,alexandre.moreira@yahoo.com.br,86014-9,1998-09-24,Frankfurt,1,26,936,1,189818.82,1,0,1,7063.6,0,12.270445340441311,False,True,False
15632272,Débora Ribeiro Lima,debora.ribeiro@outlook.com,35419-6,1982-08-22,Bordeaux,0,42,792,2,0.0,2,1,0,92664.09,0,12.126492064422363,True,False,False
15779414,Thiago Alves Pereira,thiago.alves@hotmail.com,08496-3,1984-04-14,Sevilla,1,40,696,3,96521.41,1,1,1,138351.68,0,12.635508870251298,False,False,True
15584452,Fernando Henrique Costa,fernando.henrique@outlook.com,81294-4,1983-02-13,Nantes,1,41,936,6,0.0,2,0,0,167181.77,0,0.0,True,False,False
15693264,Silvana Costa Ferreira,silvana.costa@outlook.com,61932-5,1995-08-01,Toulouse,0,29,583,10,0.0,2,1,1,111285.85,0,0.0,True,False,False
15691871,Rafael Oliveira Costa,rafael.oliveira@outlook.com,03364-2,1982-10-01,Cologne,1,42,503,9,106053.27,1,1,1,151336.96,0,12.63316479412226,False,True,False
15631267,Thiago Alves Pereira,thiago.alves@yahoo.com.br,06817-3,1974-05-26,Paris,1,50,641,6,85461.18,2,1,1,130910.78,0,12.635193926882524,True,False,False
15715988,Felipe Lima Santos,felipe.lima@outlook.com,21913-2,1989-03-14,Nice,1,35,793,2,0.0,2,1,1,79704.12,0,0.0,True,False,False
15662500,Marcos Pereira Rocha,marcos.pereira@hotmail.com,50901-2,1992-01-04,Valencia,1,32,774,9,0.0,2,1,0,10604.48,0,0.0,False,False,True
